ACTIVE U.S. SKI AREAS - 2024-25,,,,,,,,,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS 
AFFILIATIONS ","ANTICIPATE
OPERATING 
24/25?","OPERATED
23/24?","SURFACE
LIFTS
ONLY?","OPEN TO
PUBLIC?","SKIED 
(Admin 
use
only)"
,Maverick Mountain,"2,020",255,250,Independent,,Yes,Yes,No,Yes,No
,Montana Snowbowl,"2,600","2,000",300,Independent,Indy,Yes,Yes,No,Yes,No
,Red Lodge,"2,400","1,635",250,JMA Ventures,Indy,Yes,Yes,No,Yes,Yes
,Showdown,"1,400",640,255,Independent,,Yes,Yes,No,Yes,No
,Teton Pass,"1,000",407,250,Independent,,Yes,Yes,No,Yes,No
,Turner,"2,110","1,000",200,Independent,,Yes,Yes,No,Yes,No
,Whitefish,"2,353","3,000",320,Independent,,Yes,Yes,No,Yes,No
,Yellowstone Club,"2,700","2,700",300,Independent,,Yes,Yes,No,No,No
U.S. - Nevada,Diamond Peak,"1,840",655,188,Independent,,Yes,Yes,No,Yes,No
,Elko Snobowl,700,60,24,Independent,,Yes,Yes,No,Yes,No
,Lee Canyon,860,195,129,Mountain Capital Partners,Power,Yes,Yes,No,Yes,Yes
,Mt. Rose,"1,800","1,200",350,Independent,,Yes,Yes,No,Yes,No
,Sky Tavern,673,,N/A,Independent,,Yes,Yes,No,No,No
U.S. - New Hampshire,Abenaki (Wolfboro),215,18,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Arrowhead,120,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Attitash,"1,750",311,120,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Black Mountain,"1,100",140,125,Independent,Indy,Yes,Yes,No,Yes,Yes
,Bretton Woods,"1,500",464,200,Omni Hotels,,Yes,Yes,No,Yes,Yes
,Campton,313,,N/A,Independent,,Yes,Yes,No,Yes,Yes
